Equipment_ID,Name,Type,Price,Charm_Bonus,HP_Bonus,Int_Bonus,Art_Bonus,Morality_Bonus,Random_Bouse,Description,Unlock_Condition,Rarity
EQ_001,평상복,의상,0,0,0,0,0,0,0,기본적인 평상복,NONE,1
EQ_002,귀여운 원피스,의상,300,15,0,0,0,0,0,리본이 달린 귀여운 원피스,NONE,2
EQ_003,단정한 교복,의상,400,0,0,10,0,5,0,깔끔한 디자인의 교복,NONE,2
EQ_004,우아한 드레스,의상,800,25,0,0,10,0,0,특별한 날 입는 고급 드레스,STAT:CHARM:200,3
EQ_005,스포츠 웨어,의상,350,0,15,0,0,0,0,운동하기 좋은 편안한 옷,NONE,2
EQ_006,예술가의 옷,의상,500,0,0,0,20,0,0,페인트 묻은 예술가의 작업복,STAT:ART:150,3
EQ_007,특별한 의상,의상,1500,10,10,10,10,10,0,전설의 디자이너가 만든 의상,AGE:12,4
EQ_101,기본 리본,악세서리,100,5,0,0,0,0,0,머리에 매는 단순한 리본,NONE,1
EQ_102,은 귀걸이,악세서리,250,10,0,0,0,0,0,은빛 귀걸이,NONE,2
EQ_103,지능의 안경,악세서리,200,0,0,8,0,0,0,지적인 인상을 주는 안경,NONE,2
EQ_104,행운의 팔찌,악세서리,400,0,0,0,0,0,3,행운을 가져다주는 팔찌,NONE,3
EQ_105,왕국의 증표,악세서리,EVENT_REWARD,5,5,5,5,5,0,왕궁에서 주는 특별한 악세서리,EVENT:REWARD,5
