Gift_ID,Name,Target_NPC,Price,Favorability,Description
GIFT_001,커피 원두,이노,120,10,신선한 원두 커피
GIFT_002,토피넛 시럽,이노,150,15,이노가 생각나는 선물
GIFT_003,머그컵,이노,80,8,새로운 머그컵
GIFT_004,수제 쿠키,이노,100,12,정성껏 만든 쿠키
GIFT_005,특별 선물,이노,300,25,이노가 좋아하는 특별한 것
GIFT_006,핸드크림,아이린,100,10,예쁘게 포장된 핸드크림
GIFT_007,마카롱 세트,아이린,180,20,아이린이 생각나는 선물
GIFT_008,화장품,아이린,250,15,고급 화장품
GIFT_009,귀여운 스티커,아이린,50,8,예쁜 스티커 모음
GIFT_010,특별 선물,아이린,300,25,아이린의 취향 저격 선물
GIFT_011,차 세트,카일,150,10,고급 차 세트
GIFT_012,블랙 티,카일,200,20,카일이 생각나는 선물
GIFT_013,손수건,카일,100,8,깔끔한 손수건
GIFT_014,노트,카일,80,8,정리 된 노트
GIFT_015,특별 선물,카일,300,25,카일이 필요한 특별한 것
GIFT_016,디저트,리안,80,10,맛있는 디저트
GIFT_017,레몬 스콘,리안,120,20,"루아와 같은 레몬 스콘, 특별한 의미"
GIFT_018,책,리안,150,15,디저트 세계의 책
GIFT_019,열쇠고리,리안,60,8,귀여운 열쇠고리
GIFT_020,특별 선물,리안,300,25,리안과의 관계를 깊게 하는 선물
