Item_ID,Name,Category,Price,Effect,Description,Rarity
ITEM_001,영양제,회복,100,STAT:HP+10,건강을 챙기는 기본 영양제,1
ITEM_002,비타민 세트,회복,180,STAT:HP+15/STAT:STRESS-5,고급 영양제 세트,2
ITEM_003,스트레스 해소제,회복,200,STAT:STRESS-20,긴장을 풀어주는 특제 약,2
ITEM_004,진정 티백,회복,120,STAT:STRESS-15,차분한 마음을 주는 허브티,1
ITEM_101,화장품 세트,스탯 강화,150,STAT:CHARM+10,피부 관리용 화장품,2
ITEM_102,미용 도구,스탯 강화,200,STAT:CHARM+15,머리와 손톱 관리 도구,2
ITEM_103,명작 소설,스탯 강화,120,STAT:INT+8,세계적인 문학 작품,2
ITEM_104,과학 잡지,스탯 강화,100,STAT:INT:5/STAT:ART+2,최신 과학 정보가 담긴 잡지,1
ITEM_105,미술 도구 세트,스탯 강화,180,STAT:ART+10,붓과 물감 세트,2
ITEM_106,음악 CD,스탯 강화,150,STAT:ART+8,클래식 음악 모음집,1
ITEM_107,명상 안내서,스탯 강화,130,STAT:MORALITY+8/STAT:STRESS-8,마음을 다스리는 방법,2
ITEM_108,봉사 활동 안내,스탯 강화,80,STAT:MORALITY+5,지역 봉사 활동 정보,1
ITEM_201,특제 간식,특별 소비,80,STAT:STRESS-15/STAT:HP+5,이노가 만든 특별한 간식,2
ITEM_202,럭키 쿠키,특별 소비,50,STAT:RANDOM+5,운을 점쳐주는 쿠키,1
ITEM_203,에너지 드링크,특별 소비,120,STAT:HP+10/STAT:STRESS+5,피로회복을 시켜주는 음료,2
