BGM_ID,Name_KO,Name_EN,Category,Mood,File_Path,Loop_Start,Loop_End,Volume,Is_Locked,Unlock_Condition
# 타이틀 BGM
BGM_Title,타이틀 화면,Title Screen,Title,Calm,BGM/Title_Screen.mp3,0.0,120.0,0.8,FALSE,

# 일상 BGM
BGM_Happy,행복한 하루,Happy Day,Daily,Happy,BGM/Happy_Day.mp3,0.0,180.0,0.8,FALSE,
BGM_Calm,평화로운 일상,Peaceful Daily,Daily,Calm,BGM/Peaceful_Daily.mp3,0.0,240.0,0.7,FALSE,
BGM_Sad,슬픈 마음,Sad Heart,Daily,Sad,BGM/Sad_Heart.mp3,0.0,200.0,0.7,FALSE,
BGM_Romantic,로맨틱한 시간,Romantic Time,Daily,Romantic,BGM/Romantic_Time.mp3,0.0,220.0,0.8,FALSE,

# 이벤트 BGM
BGM_Prologue,프롤로그,Prologue,Event,Mysterious,BGM/Event_Prologue.mp3,0.0,150.0,0.9,FALSE,
BGM_Birthday,생일 축하,Birthday Celebration,Event,Happy,BGM/Event_Birthday.mp3,0.0,180.0,0.9,FALSE,
BGM_School,학교 생활,School Life,Event,Calm,BGM/Event_School.mp3,0.0,200.0,0.8,FALSE,
BGM_Conflict,갈등,Conflict,Event,Tense,BGM/Event_Conflict.mp3,0.0,180.0,0.8,FALSE,
BGM_Ceremony,의식,Ceremony,Event,Sacred,BGM/Event_Ceremony.mp3,0.0,240.0,0.9,FALSE,
BGM_Mysterious,신비로운 분위기,Mysterious Atmosphere,Event,Mysterious,BGM/Event_Mysterious.mp3,0.0,300.0,0.8,FALSE,

# 계절 BGM
BGM_Spring,봄의 향기,Spring Scent,Event,Happy,BGM/Season_Spring.mp3,0.0,210.0,0.8,FALSE,
BGM_Summer,여름 바다,Summer Beach,Event,Happy,BGM/Season_Summer.mp3,0.0,200.0,0.9,FALSE,
BGM_Autumn,가을 단풍,Autumn Leaves,Event,Calm,BGM/Season_Autumn.mp3,0.0,220.0,0.8,FALSE,
BGM_Winter,겨울 크리스마스,Winter Christmas,Event,Romantic,BGM/Season_Winter.mp3,0.0,240.0,0.9,FALSE,

# NPC 이벤트 BGM
BGM_Sad,슬픔,Sadness,Event,Sad,BGM/NPC_Sad.mp3,0.0,200.0,0.7,FALSE,
BGM_Dignified,위엄,Dignified,Event,Sacred,BGM/NPC_Dignified.mp3,0.0,180.0,0.8,FALSE,

# 엔딩 BGM
BGM_Ending_Queen,여왕의 길,Path of Queen,Ending,Romantic,BGM/Ending_Queen.mp3,0.0,300.0,1.0,FALSE,
BGM_Ending_Scholar,현명한 학자,Wise Scholar,Ending,Calm,BGM/Ending_Scholar.mp3,0.0,280.0,1.0,FALSE,
BGM_Ending_Idol,반짝이는 아이돌,Shining Idol,Ending,Happy,BGM/Ending_Idol.mp3,0.0,260.0,1.0,FALSE,
BGM_Ending_Artist,예술가의 길,Path of Artist,Ending,Romantic,BGM/Ending_Artist.mp3,0.0,280.0,1.0,FALSE,
BGM_Ending_Athlete,강인한 운동선수,Athlete,Ending,Happy,BGM/Ending_Athlete.mp3,0.0,240.0,1.0,FALSE,
BGM_Ending_Saint,성스러운 성녀,Holy Saint,Ending,Sacred,BGM/Ending_Saint.mp3,0.0,300.0,1.0,FALSE,
BGM_Ending_Explorer,인간 세계 탐구자,Human World Explorer,Ending,Calm,BGM/Ending_Explorer.mp3,0.0,280.0,1.0,FALSE,
BGM_Ending_Teacher,따뜻한 교사,Kind Teacher,Ending,Happy,BGM/Ending_Teacher.mp3,0.0,260.0,1.0,FALSE,
BGM_Ending_Cook,요리 연구가,Cooking Researcher,Ending,Happy,BGM/Ending_Cook.mp3,0.0,250.0,1.0,FALSE,
BGM_Ending_Leader,사교적 리더,Social Leader,Ending,Happy,BGM/Ending_Leader.mp3,0.0,270.0,1.0,FALSE,
BGM_Ending_Balanced,균형잡힌 인재,Well-Rounded Talent,Ending,Calm,BGM/Ending_Balanced.mp3,0.0,260.0,1.0,FALSE,
BGM_Ending_Normal,평범한 행복,Ordinary Happiness,Ending,Calm,BGM/Ending_Normal.mp3,0.0,240.0,1.0,FALSE,
BGM_Ending_Free,자유로운 영혼,Free Spirit,Ending,Happy,BGM/Ending_Free.mp3,0.0,280.0,1.0,FALSE,

# 히든 엔딩 BGM
BGM_Hidden,히든 엔딩,Hidden Ending,Ending,Mysterious,BGM/Hidden_Ending.mp3,0.0,320.0,1.0,TRUE,Unlock_First_Hidden

# 시스템 BGM
BGM_System_Menu,메뉴 화면,Menu Screen,System,Calm,BGM/System_Menu.mp3,0.0,150.0,0.7,FALSE,
BGM_System_Save,저장 화면,Save Screen,System,Calm,BGM/System_Save.mp3,0.0,120.0,0.6,FALSE,
BGM_System_Alert,알림,Alert,System,Tense,BGM/System_Alert.mp3,0.0,5.0,0.9,FALSE,

# 미니게임 BGM
BGM_Minigame_Study,학습 미니게임,Study Minigame,Minigame,Calm,BGM/Minigame_Study.mp3,0.0,180.0,0.8,FALSE,
BGM_Minigame_Sports,운동 미니게임,Sports Minigame,Minigame,Happy,BGM/Minigame_Sports.mp3,0.0,160.0,0.9,FALSE,
BGM_Minigame_Art,예술 미니게임,Art Minigame,Minigame,Romantic,BGM/Minigame_Art.mp3,0.0,200.0,0.8,FALSE,
