Character_ID,Name_KO,Name_EN,Essence,Age,Gender,Role,Personality_Traits,Description,Default_Location,Favor_Min,Favor_Max,CG_Variations,Is_Romanceable,Unlock_Condition
# 주인공
Char_Ino,이노,Ino,토피넛 라떼,21,Male,주인공,상냥함;활발함;서투름;열정적,인간 세계 조사 담당원. 2년째 인간 세계에서 임무 중. 루아를 갑작스럽게 맡게 됨.,Home,0,100,Normal;Happy;Blush;Serious,TRUE,NONE
# 육성 대상
Char_Lua,루아,Lua,레몬 스콘,6-18,Female,육성 대상,순수함;호기심;성장형,차기 여왕 후보. 인간 세계에서 이노와 함께 성장.,Home,0,0,Child;Teen;Adult,FALSE,NONE
# NPC - 소꿉친구
Char_Aileen,아이린,Aileen,마카롱,21,Female,NPC,밝음;사교적;세심함;적극적,이노의 소꿉친구. 왕국에서 패션 관련 일을 함.,Shopping_Street,0,100,Normal;Happy;Blush,TRUE,NONE
# NPC - 호위원
Char_Kyle,카일,Kyle,블랙 티,25,Male,NPC,신중함;충성심;엄격함;따뜻함,루아의 호위 기사. 왕궁 경호대 출신으로 루아를 진심으로 보호.,Hideout,0,100,Normal;Smile,FALSE,NONE
# NPC - 인간
Char_Lian,리안,Lian,인간,19,Male,NPC,호기심;친절함;순수함,평범한 인간. 어릴 때부터 디저트들을 볼 수 있는 특별한 능력 보유.,School,50,100,Normal;Happy;Blush,TRUE,AGE:13
