Event_ID,Name_KO,Type,Trigger_Type,Trigger_Value,Required_Previous_Event,Age_Min,Age_Max,Month,Day,Stat_Condition,NPC_Condition,Script_Path,CG_ID,BGM_ID,Next_Event,Is_Repeatable,Is_Hidden,Priority,Description
# 프로롤로그 및 생일 이벤트
EVT_PROLOGUE,프롤로그,Fixed,Age,Age=6,,6,6,,,,,Events/Prologue.json,CG_Prologue,BGM_Prologue,EVT_BIRTHDAY_006,FALSE,FALSE,10,게임 시작 시 자동 발생
EVT_BIRTHDAY_006,6세 생일,Special,Date,Date=1224,,6,6,12,24,,,Events/Birthday_006.json,CG_Birthday_006,BGM_Happy,EVT_AGE_006_SCHOOL,FALSE,FALSE,9,루아의 6번째 생일
EVT_BIRTHDAY_007,7세 생일,Special,Date,Date=1224,,7,7,12,24,,,Events/Birthday_007.json,CG_Birthday_007,BGM_Happy,,FALSE,FALSE,9,루아의 7번째 생일
EVT_BIRTHDAY_010,10세 생일,Special,Date,Date=1224,,10,10,12,24,,,Events/Birthday_010.json,CG_Birthday_010,BGM_Happy,EVT_AGE_010_MIDDLE,FALSE,FALSE,9,루아의 10번째 생일 (특별 선물)
EVT_BIRTHDAY_013,13세 생일 (리안 첫 등장),Special,Date,Date=1224,,13,13,12,24,,,Events/Birthday_013.json,CG_Birthday_013,BGM_Happy,,FALSE,FALSE,9,루아의 13번째 생일 - 리안 첫 등장
EVT_BIRTHDAY_015,15세 생일,Special,Date,Date=1224,,15,15,12,24,,,Events/Birthday_015.json,CG_Birthday_015,BGM_Happy,EVT_AGE_015_GRADUATION,FALSE,FALSE,9,루아의 15번째 생일
EVT_BIRTHDAY_016,16세 생일 (반지 선물),Special,Date,Date=1224,,16,16,12,24,,,Events/Birthday_016.json,CG_Birthday_016,BGM_Romantic,EVT_AGE_016_HIGH,FALSE,FALSE,9,루아의 16번째 생일 (약속의 반지)
EVT_BIRTHDAY_018,18세 생일 (최종 선택),Special,Date,Date=1224,,18,18,12,24,,,Events/Birthday_018.json,CG_Birthday_018,BGM_Ending,,FALSE,FALSE,10,루아의 18번째 생일 - 최종 엔딩 분기

# 연령별 이벤트
EVT_AGE_006_SCHOOL,6세 첫 입학식,Fixed,Age,Age=6,EVT_BIRTHDAY_006,6,6,4,1,,,Events/Age_006_School.json,CG_School_Entrance,BGM_School,EVT_SCHOOL_ENTRANCE,FALSE,FALSE,8,6세 첫 입학식
EVT_AGE_010_MIDDLE,10세 중학교 입학,Fixed,Age,Age=10,EVT_BIRTHDAY_010,10,10,4,1,,,Events/Age_010_Middle.json,CG_School_Middle,BGM_School,EVT_SCHOOL_ENTRANCE,FALSE,FALSE,8,10세 중학교 입학
EVT_AGE_012_PUBERTY,12세 사춘기의 시작,Fixed,Age,Age=12,,12,12,,,Stress>=30,,Events/Age_012_Puberty.json,CG_Room_Conflict,BGM_Sad,,FALSE,FALSE,7,12세 사춘기 갈등 이벤트
EVT_AGE_015_GRADUATION,15세 중학교 졸업,Fixed,Age,Age=15,EVT_BIRTHDAY_015,15,15,3,1,,,Events/Age_015_Graduation.json,CG_School_Graduation,BGM_Happy,EVT_SCHOOL_GRADUATION,FALSE,FALSE,8,15세 중학교 졸업식
EVT_AGE_016_HIGH,16세 고등학교 입학 (진로 선택),Fixed,Age,Age=16,EVT_BIRTHDAY_016,16,16,4,1,,,Events/Age_016_High.json,CG_School_High,BGM_School,EVT_SCHOOL_ENTRANCE,FALSE,FALSE,8,16세 고등학교 입학 및 진로 선택
EVT_AGE_018_ADULT,18세 성인식,Fixed,Age,Age=18,EVT_BIRTHDAY_018,18,18,12,24,,,Events/Age_018_Adult.json,CG_Adult_Ceremony,BGM_Ceremony,,FALSE,FALSE,10,18세 성인식 및 최종 선택

# 계절/기념일 이벤트
EVT_NEWYEAR,새해 (1월 1일),Fixed,Date,Date=0101,,,,1,1,,,Events/Season_NewYear.json,CG_NewYear,BGM_Happy,,TRUE,FALSE,5,새해 첫날 이벤트 (반복)
EVT_VALENTINE,발렌타인데이 (2월 14일),Fixed,Date,Date=0214,,10,18,2,14,,,Events/Season_Valentine.json,CG_Valentine,BGM_Romantic,,TRUE,FALSE,6,발렌타인데이 이벤트 (10세 이상)
EVT_CHERRYBLOSSOM,벚꽃놀이 (4월),Fixed,Date,Date=0401-0430,,,,4,,,,Events/Season_CherryBlossom.json,CG_CherryBlossom,BGM_Spring,,TRUE,FALSE,5,봄 벚꽃놀이 이벤트 (반복)
EVT_CHILDRENDAY,어린이날 (5월 5일),Fixed,Date,Date=0505,,6,12,5,5,,,Events/Season_ChildrenDay.json,CG_ChildrenDay,BGM_Happy,,TRUE,FALSE,5,어린이날 이벤트 (12세 이하)
