Item_ID,Name_KO,Type,Category,Rarity,Price,Description,Effect_HP,Effect_Charm,Effect_Int,Effect_Art,Effect_Morality,Effect_Stress,Effect_Favor_Ino,Effect_Favor_Aileen,Effect_Favor_Kyle,Effect_Favor_Lian,Target_NPC,Icon_Path,Unlock_Condition,Max_Stack,Is_Sellable,Is_Consumable
# 소비 아이템 - 회복
ITEM_001,영양제,Consumable,Recovery,1,100,건강을 챙기는 기본 영양제,10,0,0,0,0,0,0,0,0,0,All,Items/nutrient.png,Shop,99,TRUE,TRUE
ITEM_002,비타민 세트,Consumable,Recovery,2,180,고급 영양제 세트,15,0,0,0,0,-5,0,0,0,0,All,Items/vitamin.png,Shop,99,TRUE,TRUE
ITEM_003,스트레스 해소제,Consumable,Recovery,2,200,긴장을 풀어주는 특제 약,0,0,0,0,0,-20,0,0,0,0,All,Items/stress_relief.png,Shop,50,TRUE,TRUE
ITEM_004,진정 티백,Consumable,Recovery,1,120,차분한 마음을 주는 허브티,0,0,0,0,0,-15,0,0,0,0,All,Items/tea_relax.png,Shop,99,TRUE,TRUE

# 소비 아이템 - 스탯 강화
ITEM_011,화장품 세트,Consumable,StatBoost,2,150,피부 관리용 화장품,0,10,0,0,0,0,0,0,0,0,All,Items/cosmetics.png,Shop,30,TRUE,TRUE
ITEM_012,미용 도구,Consumable,StatBoost,2,200,머리와 손톱 관리 도구,0,15,0,0,0,0,0,0,0,0,All,Items/beauty_tools.png,Shop,30,TRUE,TRUE
ITEM_013,명작 소설,Consumable,StatBoost,2,120,세계적인 문학 작품,0,0,8,0,0,0,0,0,0,0,All,Items/book_novel.png,Shop,30,TRUE,TRUE
ITEM_014,과학 잡지,Consumable,StatBoost,1,100,최신 과학 정보가 담긴 잡지,0,0,5,2,0,0,0,0,0,0,All,Items/magazine_science.png,Shop,30,TRUE,TRUE
ITEM_015,미술 도구 세트,Consumable,StatBoost,2,180,붓과 물감 세트,0,0,0,10,0,0,0,0,0,0,All,Items/art_tools.png,Shop,30,TRUE,TRUE
ITEM_016,음악 CD,Consumable,StatBoost,1,150,클래식 음악 모음집,0,0,0,8,0,0,0,0,0,0,All,Items/cd_music.png,Shop,30,TRUE,TRUE
ITEM_017,명상 안내서,Consumable,StatBoost,2,130,마음을 다스리는 방법,0,0,0,0,8,-8,0,0,0,0,All,Items/book_meditation.png,Shop,30,TRUE,TRUE
ITEM_018,봉사 활동 안내,Consumable,StatBoost,1,80,지역 봉사 활동 정보,0,0,0,0,5,0,0,0,0,0,All,Items/volunteer_guide.png,Shop,30,TRUE,TRUE

# 소비 아이템 - 특별 소비
ITEM_021,특제 간식,Consumable,Special,2,80,이노가 만든 특별한 간식,5,0,0,0,0,-15,0,0,0,0,All,Items/snack_special.png,Event,50,TRUE,TRUE
ITEM_022,럭키 쿠키,Consumable,Special,1,50,운을 점쳐주는 쿠키 (랜덤 스탯 +5),0,0,0,0,0,0,0,0,0,0,All,Items/cookie_lucky.png,Shop,99,TRUE,TRUE
ITEM_023,에너지 드링크,Consumable,Special,2,120,피로회복 대신 스트레스 증가,10,0,0,0,0,5,0,0,0,0,All,Items/drink_energy.png,Shop,50,TRUE,TRUE

# 선물 - 이노
ITEM_101,커피 원두,Gift,Gift_Food,2,120,신선한 원두 커피,0,0,0,0,0,0,10,0,0,0,Ino,Items/gift_coffee.png,Shop,99,TRUE,FALSE
ITEM_102,토피넛 시럽,Gift,Gift_Food,2,150,이노가 생각나는 선물,0,0,0,0,0,0,15,0,0,0,Ino,Items/gift_syrup.png,Shop,99,TRUE,FALSE
ITEM_103,머그컵,Gift,Gift_Lifestyle,1,80,새로운 머그컵,0,0,0,0,0,0,8,0,0,0,Ino,Items/gift_mug.png,Shop,99,TRUE,FALSE
ITEM_104,수제 쿠키,Gift,Gift_Food,2,100,정성껏 만든 쿠키,0,0,0,0,0,0,12,0,0,0,Ino,Items/gift_cookie_homemade.png,Shop,99,TRUE,FALSE
ITEM_105,특별 선물,Gift,Gift_Special,4,300,이노가 좋아하는 특별한 것,0,0,0,0,0,0,25,0,0,0,Ino,Items/gift_special_ino.png,Shop,10,TRUE,FALSE

# 선물 - 아이린
ITEM_111,핸드크림,Gift,Gift_Cosmetic,2,100,예쁘게 포장된 핸드크림,0,0,0,0,0,0,0,10,0,0,Aileen,Items/gift_handcream.png,Shop,99,TRUE,FALSE
ITEM_112,마카롱 세트,Gift,Gift_Food,2,180,아이린이 생각나는 선물,0,0,0,0,0,0,0,20,0,0,Aileen,Items/gift_macaron.png,Shop,99,TRUE,FALSE
ITEM_113,화장품,Gift,Gift_Cosmetic,3,250,고급 화장품,0,0,0,0,0,0,0,15,0,0,Aileen,Items/gift_cosmetics_premium.png,Shop,50,TRUE,FALSE
ITEM_114,귀여운 스티커,Gift,Gift_Lifestyle,1,50,예쁜 스티커 모음,0,0,0,0,0,0,0,8,0,0,Aileen,Items/gift_stickers.png,Shop,99,TRUE,FALSE
ITEM_115,특별 선물,Gift,Gift_Special,4,300,아이린의 취향 저격 선물,0,0,0,0,0,0,0,25,0,0,Aileen,Items/gift_special_aileen.png,Shop,10,TRUE,FALSE

# 선물 - 카일
ITEM_121,차 세트,Gift,Gift_Lifestyle,2,150,고급 차 세트,0,0,0,0,0,0,0,0,10,0,Kyle,Items/gift_tea_set.png,Shop,99,TRUE,FALSE
ITEM_122,블랙 티,Gift,Gift_Food,2,200,카일이 생각나는 선물,0,0,0,0,0,0,0,0,20,0,Kyle,Items/gift_blacktea.png,Shop,99,TRUE,FALSE
ITEM_123,손수건,Gift,Gift_Lifestyle,1,100,깔끔한 손수건,0,0,0,0,0,0,0,0,8,0,Kyle,Items/gift_handkerchief.png,Shop,99,TRUE,FALSE
ITEM_124,노트,Gift,Gift_Lifestyle,1,80,정장 노트,0,0,0,0,0,0,0,0,8,0,Kyle,Items/gift_notebook.png,Shop,99,TRUE,FALSE
ITEM_125,특별 선물,Gift,Gift_Special,4,300,카일이 필요한 특별한 것,0,0,0,0,0,0,0,0,25,0,Kyle,Items/gift_special_kyle.png,Shop,10,TRUE,FALSE

# 선물 - 리안
ITEM_131,디저트,Gift,Gift_Food,2,80,맛있는 디저트,0,0,0,0,0,0,0,0,0,10,Lian,Items/gift_dessert.png,Shop,99,TRUE,FALSE
ITEM_132,레몬 스콘,Gift,Gift_Food,3,120,루아와 같은 레몬 스콘,0,0,0,0,0,0,0,0,0,20,Lian,Items/gift_lemonscone.png,Shop,50,TRUE,FALSE
ITEM_133,책,Gift,Gift_Lifestyle,2,150,디저트 세계의 책,0,0,0,0,0,0,0,0,0,15,Lian,Items/gift_book.png,Shop,99,TRUE,FALSE
ITEM_134,열쇠고리,Gift,Gift_Lifestyle,1,60,귀여운 열쇠고리,0,0,0,0,0,0,0,0,0,8,Lian,Items/gift_keychain.png,Shop,99,TRUE,FALSE
ITEM_135,특별 선물,Gift,Gift_Special,4,300,리안과의 관계를 깊게 하는 선물,0,0,0,0,0,0,0,0,0,25,Lian,Items/gift_special_lian.png,Shop,10,TRUE,FALSE

# 특별 아이템 - 퀘스트
ITEM_201,고대의 책,Special,Quest,3,0,왕국의 고대 역사가 담긴 책,0,0,0,0,0,0,0,0,0,0,All,Items/book_ancient.png,EVENT:BOOKSTORE,1,FALSE,FALSE
ITEM_202,신비한 돌,Special,Quest,4,0,차원의 힘이 담긴 돌,0,0,0,0,0,0,0,0,0,0,All,Items/stone_mystery.png,AGE:12,1,FALSE,FALSE
ITEM_203,여왕의 편지,Special,Quest,4,0,현 여왕이 직접 쓴 편지,0,0,0,0,0,0,0,0,0,0,All,Items/letter_queen.png,MAIL:DELIVERY,1,FALSE,FALSE
ITEM_204,차원의 열쇠,Special,Quest,5,0,차원을 넘나드는 열쇠 (히든 엔딩),0,0,0,0,0,0,0,0,0,0,All,Items/key_dimension.png,EVENT:HIDDEN_1,1,FALSE,FALSE

# 특별 아이템 - 성장
ITEM_211,성장의 비약,Special,Growth,3,5000,순간적인 성장을 돕는 비약,20,20,20,20,20,0,0,0,0,0,All,Items/potion_growth.png,Shop:SPECIAL,10,TRUE,TRUE
ITEM_212,지혜의 서,Special,Growth,4,8000,모든 지식이 담긴 전설의 서,0,0,30,0,0,0,0,0,0,0,All,Items/book_wisdom.png,QUEST:REWARD,1,TRUE,TRUE
ITEM_213,미인의 비밀,Special,Growth,4,8000,아름다움의 비밀이 담긴 보석,0,30,0,0,0,0,0,0,0,0,All,Items/gem_beauty.png,Shop:SPECIAL,5,TRUE,TRUE
ITEM_214,체력의 수정,Special,Growth,4,8000,무한한 활력을 주는 수정,30,0,0,0,0,0,0,0,0,0,All,Items/crystal_hp.png,Shop:SPECIAL,5,TRUE,TRUE

# 특별 아이템 - 기념품
ITEM_221,처음 받은 인형,Special,Memory,2,0,6세 생일에 받은 인형,0,0,0,0,0,-5,0,0,0,0,All,Items/doll_first.png,AGE:6:BIRTHDAY,1,FALSE,FALSE
ITEM_222,졸업식 꽃다발,Special,Memory,2,0,초등학교 졸업 기념,0,0,0,0,0,0,0,0,0,0,All,Items/flowers_graduation.png,AGE:10:EVENT,1,FALSE,FALSE
ITEM_223,여행 사진,Special,Memory,2,0,첫 여행의 추억,0,0,0,0,0,0,0,0,0,0,All,Items/photo_travel.png,FIRST:TRAVEL,1,FALSE,FALSE
ITEM_224,가족 사진,Special,Memory,2,0,이노와 함께 찍은 사진,0,0,0,0,0,0,0,0,0,0,All,Items/photo_family.png,SPECIAL:EVENT,1,FALSE,FALSE
ITEM_225,왕국의 크리스탈,Special,Memory,5,0,왕국과 연결되는 보석,0,0,0,0,0,0,0,0,0,0,All,Items/crystal_kingdom.png,AGE:10:GIFT,1,FALSE,FALSE
