Dialogue_ID,Text_Type,Sequence,Choice_ID,Text_Content,Next_Dialogue_ID,Stat_Changes,Favor_Changes,Note
# 이노 - 레벨 1 (0~20): 첫 만남,,,,,,,,
## 이벤트 1: 인사이동 첫날,,,,,,,,
D_Ino_L1_001,Dialogue,1,,어 어... 안녕하세요? 저는 이노라고 해요.,,,,
D_Ino_L1_001,Dialogue,2,,갑자기 이런 일이 생겨서... 정말 놀라셨죠? 저도 놀랐어요.,,,,
D_Ino_L1_001,Dialogue,3,,하지만 걱정 마세요! 열심히 잘 키워드릴 테니까요!,,,,
D_Ino_L1_001,Choice,1,1,고마워...,D_Ino_L1_001_Result1,스트레스 -5,이노 +3,
D_Ino_L1_001,Choice,2,2,정말 괜찮아?,D_Ino_L1_001_Result2,스트레스 -3,이노 +5,
D_Ino_L1_001,Result,1,,호감도 +3 스트레스 -5,,,이노 +3,선택지 1 결과
D_Ino_L1_001,Result,2,,호감도 +5 스트레스 -3,,,이노 +5,선택지 2 결과
## 이벤트 2: 첫 아침 식사,,,,,,,,
D_Ino_L1_002,Dialogue,1,,자 아침이에요! 제가 특별히 만든... 어라?,,,,
D_Ino_L1_002,Dialogue,2,,...왜 계란이 껍데기째로 있죠?,,,,
D_Ino_L1_002,Dialogue,3,,아 까는 걸 깜빡했네요! 하하...,,,,
D_Ino_L1_002,Choice,1,1,괜찮아 내가 까줄게,D_Ino_L1_002_Result1,도덕성 +2,이노 +5,
D_Ino_L1_002,Choice,2,2,다음부터는 조심해,D_Ino_L1_002_Result2,,이노 +3,
D_Ino_L1_002,Result,1,,호감도 +5 도덕성 +2,,,이노 +5,선택지 1 결과
D_Ino_L1_002,Result,2,,호감도 +3,,,이노 +3,선택지 2 결과
## 이벤트 3: 함께하는 외출,,,,,,,,
D_Ino_L1_003,Dialogue,1,,오늘 날씨가 좋네요! 공원이라도 다녀올까요?,,,,
D_Ino_L1_003,Dialogue,2,,아 그러다가... 지난번에 거기서 넘어졌는데...,,,,
D_Ino_L1_003,Dialogue,3,,아니에요 아니에요! 이번엔 괜찮을 거예요! 아마도...?,,,,
D_Ino_L1_003,Choice,1,1,조심해서 가자,D_Ino_L1_003_Result1,체력 +3,이노 +5,
D_Ino_L1_003,Choice,2,2,나는 집에 있을래,EVENT_END,,,이벤트 종료
D_Ino_L1_003,Result,1,,호감도 +5 체력 +3,,,이노 +5,선택지 1 결과
## 이벤트 4: 고민 상담,,,,,,,,
D_Ino_L1_004,Dialogue,1,,요즘 루아씨가 힘들어 보이는데...,,,,
D_Ino_L1_004,Dialogue,2,,저도 잘은 모르겠지만 힘들 땐 쉬어가는 것도 중요하다고 생각해요.,,,,
D_Ino_L1_004,Dialogue,3,,무리하지 마세요. 제가 옆에 있을게요.,,,,
D_Ino_L1_004,Choice,1,1,고마워 이노,D_Ino_L1_004_Result1,스트레스 -10,이노 +8,
D_Ino_L1_004,Choice,2,2,괜찮아 혼자 해결할게,D_Ino_L1_004_Result2,스트레스 -5,,
D_Ino_L1_004,Result,1,,호감도 +8 스트레스 -10,,,이노 +8,선택지 1 결과
D_Ino_L1_004,Result,2,,스트레스 -5,,,,선택지 2 결과
# 이노 - 레벨 2 (21~40): 친구,,,,,,,,
## 이벤트 1: 조사 일정 고민,,,,,,,,
D_Ino_L2_001,Dialogue,1,,요즘 조사 일정이 바빠서... 루아씨랑 시간을 많이 못 보내는 것 같아.,,,,
D_Ino_L2_001,Dialogue,2,,미안해요. 더 잘 챙겨줘야 하는데.,,,,
D_Ino_L2_001,Dialogue,3,,하지만 오늘은 온종일 같이 있을 수 있어요!,,,,
D_Ino_L2_001,Choice,1,1,바쁜 와중에도 신경 써줘서 고마워,D_Ino_L2_001_Result1,,이노 +10,
D_Ino_L2_001,Choice,2,2,나도 이노 일에 방해가 되지 않게 할게,D_Ino_L2_001_Result2,도덕성 +3,이노 +5,
D_Ino_L2_001,Result,1,,호감도 +10,,,이노 +10,선택지 1 결과
D_Ino_L2_001,Result,2,,호감도 +5 도덕성 +3,,,이노 +5,선택지 2 결과
## 이벤트 2: 함께하는 저녁 식사,,,,,,,,
D_Ino_L2_002,Dialogue,1,,오늘은 제가 요리 도전해봤어요!,,,,
D_Ino_L2_002,Dialogue,2,,비주얼은 좀... 그래도 맛은 괜찮을 거예요!,,,,
D_Ino_L2_002,Dialogue,3,,...아마요?,,,,
D_Ino_L2_002,Choice,1,1,맛있게 먹을게,D_Ino_L2_002_Result1,체력 +5,이노 +8,
D_Ino_L2_002,Choice,2,2,배달 음식 시킬까?,D_Ino_L2_002_Result2,유머 +5,이노 +3,
D_Ino_L2_002,Result,1,,호감도 +8 체력 +5,,,이노 +8,선택지 1 결과
D_Ino_L2_002,Result,2,,호감도 +3 유머 +5,,,이노 +3,선택지 2 결과
## 이벤트 3: 루아의 생일,,,,,,,,
D_Ino_L2_003,Dialogue,1,,생일 축하해요 루아씨!,,,,
D_Ino_L2_003,Dialogue,2,,제가 준비한 선물인데... 음 뭘 좋아할지 몰라서 고민하다가...,,,,
D_Ino_L2_003,Dialogue,3,,레몬 스콘 모양 쿠키를 만들어봤어요!,,,,
D_Ino_L2_003,Dialogue,4,,...먹을 수 있을지는 모르겠지만 마음은 담았어요!,,,,
D_Ino_L2_003,Choice,1,1,정말 고마워. 소중히 간직할게,D_Ino_L2_003_Result1,,이노 +15,
D_Ino_L2_003,Choice,2,2,함께 먹자.,D_Ino_L2_003_Result2,스트레스 -5,이노 +10,
D_Ino_L2_003,Result,1,,호감도 +15,,,이노 +15,선택지 1 결과
D_Ino_L2_003,Result,2,,호감도 +10 스트레스 -5,,,이노 +10,선택지 2 결과
## 이벤트 4: 왕국 통신,,,,,,,,
D_Ino_L2_004,Dialogue,1,,왕국에서 편지가 왔어요. 루아씨의 근황을 물어보시는 것 같아요.,,,,
D_Ino_L2_004,Dialogue,2,,여왕이 되는 것에 대한 생각은... 요즘 어떠세요?,,,,
D_Ino_L2_004,Dialogue,3,,아직은 어려운 질문이려나...,,,,
D_Ino_L2_004,Choice,1,1,...잘 모르겠어...,D_Ino_L2_004_Result1,스트레스 +3,이노 +5,
D_Ino_L2_004,Choice,2,2,생각해본 적 있어,D_Ino_L2_004_Result2,,이노 +8,
D_Ino_L2_004,Result,1,,호감도 +5 스트레스 +3,,,이노 +5,선택지 1 결과
D_Ino_L2_004,Result,2,,호감도 +8,,,이노 +8,선택지 2 결과
# 이노 - 레벨 3 (41~60): 친한 친구,,,,,,,,
## 이벤트 1: 루아의 고민 상담,,,,,,,,
D_Ino_L3_001,Dialogue,1,,요즘 학교는 어때요? 재미있어요?,,,,
D_Ino_L3_001,Dialogue,2,,...아 아니면 힘든 일이 있어요?,,,,
D_Ino_L3_001,Dialogue,3,,편하게 말해줘요. 전 언제나 루아씨 편이니까요.,,,,
D_Ino_L3_001,Choice,1,1,여왕이 되는 게 무서워,D_Ino_L3_001_Result1,스트레스 -8,이노 +10,
D_Ino_L3_001,Choice,2,2,그냥 평범하게 살고 싶어,D_Ino_L3_001_Result2,도덕성 +2,이노 +12,
D_Ino_L3_001,Result,1,,호감도 +10 스트레스 -8,,,이노 +10,선택지 1 결과
D_Ino_L3_001,Result,2,,호감도 +12 도덕성 +2,,,이노 +12,선택지 2 결과
## 이벤트 2: 아이린과의 삼자 대면,,,,,,,,
D_Ino_L3_002,Dialogue,1,,아 아이린씨가 오늘 놀러 온다고 했죠?,,,,
D_Ino_L3_002,Dialogue,2,,둘이서 잘 지내고 있나 해서...,,,,
D_Ino_L3_002,Dialogue,3,,뭐 뭐예요? 왜 저를 쳐다보는 거예요 둘 다?,,,,
D_Ino_L3_002,Dialogue,4,,...뭔가 이상한데요?,,,,
D_Ino_L3_002,Choice,1,1,(장난스럽게) 둘이 알아서 해!,D_Ino_L3_002_Result1,,이노 +8 아이린 +5,
D_Ino_L3_002,Choice,2,2,우리 셋이 같이 놀자,D_Ino_L3_002_Result2,,이노 +10 아이린 +8,
D_Ino_L3_002,Result,1,,호감도 +8 아이린 호감도 +5,,,이노 +8,선택지 1 결과
D_Ino_L3_002,Result,2,,호감도 +10 아이린 호감도 +8,,,이노 +10,선택지 2 결과
## 이벤트 3: 진지한 대화,,,,,,,,
D_Ino_L3_003,Dialogue,1,,루아씨 많이 크셨네요...,,,,
D_Ino_L3_003,Dialogue,2,,처음 만났을 때는 이렇게 작았는데...,,,,
D_Ino_L3_003,Dialogue,3,,정말 잘 자라줘서 고마워요. 루아씨가 있어서 저도 성장할 수 있었어요.,,,,
D_Ino_L3_003,Choice,1,1,나도 고마워 이노,D_Ino_L3_003_Result1,,이노 +15,
D_Ino_L3_003,Choice,2,2,(말없이 안아준다),D_Ino_L3_003_Result2,스트레스 -10,이노 +18,
D_Ino_L3_003,Result,1,,호감도 +15,,,이노 +15,선택지 1 결과
D_Ino_L3_003,Result,2,,호감도 +18 스트레스 -10,,,이노 +18,선택지 2 결과
## 이벤트 4: 함께하는 취미,,,,,,,,
D_Ino_L3_004,Dialogue,1,,루아씨가 요즘 ○○○에 관심이 많아 보이는데...,,,,
D_Ino_L3_004,Dialogue,2,,저도 같이 배워볼까요?,,,,
D_Ino_L3_004,Dialogue,3,,뭐 제가 서툴지만... 루아씨와 함께라면 재미있을 것 같아요!,,,,
D_Ino_L3_004,Choice,1,1,같이 하자!,D_Ino_L3_004_Result1,관련스탯 +5,이노 +12,
D_Ino_L3_004,Choice,2,2,네 페이스에 맞춰줄게,D_Ino_L3_004_Result2,,이노 +10,
D_Ino_L3_004,Result,1,,호감도 +12 관련 스탯 +5,,,이노 +12,선택지 1 결과
D_Ino_L3_004,Result,2,,호감도 +10,,,이노 +10,선택지 2 결과
# 이노 - 레벨 4 (61~80): 높은 신뢰,,,,,,,,
## 이벤트 1: 이노의 비밀,,,,,,,,
D_Ino_L4_001,Dialogue,1,,루아씨... 사실... 저에게도 고민이 있어요.,,,,
D_Ino_L4_001,Dialogue,2,,조사 일을 하면서... 인간 세계에 적응하는 게 힘들 때가 많거든요.,,,,
D_Ino_L4_001,Dialogue,3,,하지만 루아씨가 있어서 버틸 수 있어요. 고마워요.,,,,
D_Ino_L4_001,Choice,1,1,나도 이노를 지지할게,D_Ino_L4_001_Result1,도덕성 +3,이노 +15,
D_Ino_L4_001,Choice,2,2,힘들 땐 나한테 기대,D_Ino_L4_001_Result2,,이노 +18,
D_Ino_L4_001,Result,1,,호감도 +15 도덕성 +3,,,이노 +15,선택지 1 결과
D_Ino_L4_001,Result,2,,호감도 +18,,,이노 +18,선택지 2 결과
## 이벤트 2: 특별한 날,,,,,,,,
D_Ino_L4_002,Dialogue,1,,오늘은 특별한 날이잖아요?,,,,
D_Ino_L4_002,Dialogue,2,,제가 진짜 제대로 요리해봤어요!,,,,
D_Ino_L4_002,Dialogue,3,,...이번엔 진짜 먹을 수 있을 거예요!,,,,
D_Ino_L4_002,Dialogue,4,,...그러면 좋겠네요.,,,,
D_Ino_L4_002,Choice,1,1,기대할게!,D_Ino_L4_002_Result1,체력 +10,이노 +12,
D_Ino_L4_002,Choice,2,2,내가 도와줄까?,D_Ino_L4_002_Result2,,이노 +15,
D_Ino_L4_002,Result,1,,호감도 +12 체력 +10,,,이노 +12,선택지 1 결과
D_Ino_L4_002,Result,2,,호감도 +15,,,이노 +15,선택지 2 결과
## 이벤트 3: 미래에 대한 대화,,,,,,,,
D_Ino_L4_003,Dialogue,1,,루아씨는 앞으로 어떤 미래를 그리고 있어요?,,,,
D_Ino_L4_003,Dialogue,2,,여왕이 되는 것도 좋지만... 다른 길을 선택해도 괜찮아요.,,,,
D_Ino_L4_003,Dialogue,3,,루아씨가 행복한 게 가장 중요하니까요.,,,,
D_Ino_L4_003,Dialogue,4,,...저는 어떤 선택를 하든 응원할게요.,,,,
D_Ino_L4_003,Choice,1,1,이노랑 계속 함께 있고 싶어,D_Ino_L4_003_Result1,,이노 +20,
D_Ino_L4_003,Choice,2,2,아직 잘 모르겠어,D_Ino_L4_003_Result2,,이노 +10,
D_Ino_L4_003,Result,1,,호감도 +20,,,이노 +20,선택지 1 결과
D_Ino_L4_003,Result,2,,호감도 +10,,,이노 +10,선택지 2 결과
# 이노 - 레벨 5 (81~100): 깊은 유대,,,,,,,,
## 이벤트 1: 진심 어린 고백,,,,,,,,
D_Ino_L5_001,Dialogue,1,,루아씨... 저 말이에요...,,,,
D_Ino_L5_001,Dialogue,2,,처음에는 그냥 맡아진 아이였는데...,,,,
D_Ino_L5_001,Dialogue,3,,이제는 루아씨가 없는 삶을 상상할 수 없어요.,,,,
D_Ino_L5_001,Dialogue,4,,저... 루아씨를 정말 소중하게 생각해요.,,,,
D_Ino_L5_001,Choice,1,1,나도 이노가 좋아,D_Ino_L5_001_Result1,스트레스 -15,이노 +25,
D_Ino_L5_001,Choice,2,2,(말없이 이노를 꼭 안아준다),D_Ino_L5_001_Result2,,이노 +30,
D_Ino_L5_001,Result,1,,호감도 +25 스트레스 -15,,,이노 +25,선택지 1 결과
D_Ino_L5_001,Result,2,,호감도 +30,,,이노 +30,선택지 2 결과
## 이벤트 2: 최후의 약속,,,,,,,,
D_Ino_L5_002,Dialogue,1,,루아씨 18세가 되었네요...,,,,
D_Ino_L5_002,Dialogue,2,,이제 선택해야 할 시간이에요.,,,,
D_Ino_L5_002,Dialogue,3,,어떤 선택를 하든... 저는 루아씨를 지지해요.,,,,
D_Ino_L5_002,Dialogue,4,,그리고... 루아씨가 선택한 미래에 함께할게요.,,,,
D_Ino_L5_002,Dialogue,5,,약속할게요.,,,,
D_Ino_L5_002,Choice,1,1,고마워 이노. 정말 고마워,D_Ino_L5_002_Result1,전체스탯 +5,이노 +20,
D_Ino_L5_002,Choice,2,2,(말 없이 손을 잡고 이노를 바라본다.),D_Ino_L5_002_Result2,특별엔딩조건,이노 +25,연인 엔딩 조건 충족
D_Ino_L5_002,Result,1,,호감도 +20 모든 스탯 +5,,,이노 +20,선택지 1 결과
D_Ino_L5_002,Result,2,,호감도 +25 특별 엔딩 조건 충족,,,이노 +25,선택지 2 결과
# 아이린 - 레벨 1 (0~20): 첫 만남,,,,,,,,
## 이벤트 1: 첫 방문,,,,,,,,
D_Aileen_L1_001,Dialogue,1,,안녕~! 나는 아이린! 이노의 소꿉친구야!,,,,
D_Aileen_L1_001,Dialogue,2,,이노가 여기서 뭔가를 키운다는데... 네가 그 아이구나?,,,,
D_Aileen_L1_001,Dialogue,3,,어머 너무 귀엽다! 마카롱 같아!,,,,
D_Aileen_L1_001,Dialogue,4,,앗 나는 마카롱이지만... 아무튼!,,,,
D_Aileen_L1_001,Choice,1,1,안녕하세요...,D_Aileen_L1_001_Result1,,아이린 +5,
D_Aileen_L1_001,Choice,2,2,(수줍게 숨는다),D_Aileen_L1_001_Result2,매력 +2,아이린 +3,
D_Aileen_L1_001,Result,1,,호감도 +5,,,아이린 +5,선택지 1 결과
D_Aileen_L1_001,Result,2,,호감도 +3 매력 +2,,,아이린 +3,선택지 2 결과
## 이벤트 2: 선물 방문,,,,,,,,
D_Aileen_L1_002,Dialogue,1,,루아~! 내가 옷 몇 벌 가져왔어!,,,,
D_Aileen_L1_002,Dialogue,2,,내가 디자인한 거야! 어때 예쁘지?,,,,
D_Aileen_L1_002,Dialogue,3,,이노는 패션 감각이 전혀 없으니까... 내가 챙겨줘야지!,,,,
D_Aileen_L1_002,Choice,1,1,정말 예뻐요!,D_Aileen_L1_002_Result1,매력 +3,아이린 +8,
D_Aileen_L1_002,Choice,2,2,감사합니다...,D_Aileen_L1_002_Result2,,아이린 +5,
D_Aileen_L1_002,Result,1,,호감도 +8 매력 +3,,,아이린 +8,선택지 1 결과
D_Aileen_L1_002,Result,2,,호감도 +5,,,아이린 +5,선택지 2 결과
## 이벤트 3: 쇼핑 제안,,,,,,,,
D_Aileen_L1_003,Dialogue,1,,루아 쇼핑 같이 갈래?,,,,
D_Aileen_L1_003,Dialogue,2,,인간 세계의 옷가게 너무 예쁜 것들이 많아!,,,,
D_Aileen_L1_003,Dialogue,3,,내가 예쁘게 입혀줄게~,,,,
D_Aileen_L1_003,Choice,1,1,좋아요!,D_Aileen_L1_003_Result1,매력 +5,아이린 +10,
D_Aileen_L1_003,Choice,2,2,이노는요?,D_Aileen_L1_003_Result2,,아이린 +5 이노 +3,
D_Aileen_L1_003,Result,1,,호감도 +10 매력 +5,,,아이린 +10,선택지 1 결과
D_Aileen_L1_003,Result,2,,호감도 +5 이노 호감도 +3,,,아이린 +5,선택지 2 결과
# 아이린 - 레벨 2 (21~40): 친구,,,,,,,,
## 이벤트 1: 여자 대화,,,,,,,,
D_Aileen_L2_001,Dialogue,1,,루아도 이제 많이 컸네~,,,,
D_Aileen_L2_001,Dialogue,2,,학교에서... 혹시 좋아하는 사람 있어?,,,,
D_Aileen_L2_001,Dialogue,3,,...이노 말고! 진짜로!,,,,
D_Aileen_L2_001,Dialogue,4,,하하 농담이야~,,,,
D_Aileen_L2_001,Choice,1,1,없어요!,D_Aileen_L2_001_Result1,스트레스 -3,아이린 +5,
D_Aileen_L2_001,Choice,2,2,...있을지도?,D_Aileen_L2_001_Result2,스트레스 +2,아이린 +8,
D_Aileen_L2_001,Result,1,,호감도 +5 스트레스 -3,,,아이린 +5,선택지 1 결과
D_Aileen_L2_001,Result,2,,호감도 +8 스트레스 +2,,,아이린 +8,선택지 2 결과
## 이벤트 2: 이노에 대한 이야기,,,,,,,,
D_Aileen_L2_002,Dialogue,1,,이노랑은 잘 지내?,,,,
D_Aileen_L2_002,Dialogue,2,,그 애 서투르지만 마음씨는 참 좋거든...,,,,
D_Aileen_L2_002,Dialogue,3,,처음엔 걱정했는데 루아를 잘 챙기는 것 같아서 다행이야.,,,,
D_Aileen_L2_002,Choice,1,1,이노는 잘 챙겨줘요,D_Aileen_L2_002_Result1,,아이린 +8,
