Dialogue_ID,Text_Type,Sequence,Text_Content
D_Ino_L1_001,Dialogue,1,"어, 어... 안녕하세요? 저는 이노라고 해요."
D_Ino_L1_001,Dialogue,2,갑자기 이런 일이 생겨서... 정말 놀라셨죠? 저도 놀랐어요.
D_Ino_L1_001,Dialogue,3,하지만 걱정 마세요! 열심히 잘 키워드릴 테니까요!
D_Ino_L1_001,Result,1,"호감도 +40, 스트레스 -5"
D_Ino_L1_001,Result,2,"호감도 +28, 스트레스 -3"
D_Ino_L1_002,Dialogue,1,"자, 아침이에요! 제가 특별히 만든... 어라?"
D_Ino_L1_002,Dialogue,2,...왜 계란이 껍데기째로 있죠?
D_Ino_L1_002,Dialogue,3,"아, 까는 걸 깜빡했네요! 하하..."
D_Ino_L1_002,Result,1,"호감도 +28, 도덕성 +2"
D_Ino_L1_002,Result,2,호감도 +40
D_Ino_L1_003,Dialogue,1,오늘 날씨가 좋네요! 공원이라도 다녀올까요?
D_Ino_L1_003,Dialogue,2,"아, 그러다가... 지난번에 거기서 넘어졌는데..."
D_Ino_L1_003,Dialogue,3,아니에요 아니에요! 이번엔 괜찮을 거예요! 아마도...?
D_Ino_L1_003,Result,1,호감도 +28
D_Ino_L1_004,Dialogue,1,요즘 루아씨가 힘들어 보이는데...
D_Ino_L1_004,Dialogue,2,"저도 잘은 모르겠지만, 힘들 땐 쉬어가는 것도 중요하다고 생각해요."
D_Ino_L1_004,Dialogue,3,무리하지 마세요. 제가 옆에 있을게요.
D_Ino_L1_004,Result,1,"호감도 +40, 스트레스 -10"
D_Ino_L2_001,Dialogue,1,요즘 조사 일정이 바빠서... 루아씨랑 시간을 많이 못 보내는 것 같아.
D_Ino_L2_001,Dialogue,2,미안해요. 더 잘 챙겨줘야 하는데.
D_Ino_L2_001,Dialogue,3,하지만 오늘은 온종일 같이 있을 수 있어요!
D_Ino_L2_001,Result,1,호감도 +22
D_Ino_L2_001,Result,2,"호감도 +28, 도덕성 +3"
D_Ino_L2_002,Dialogue,1,오늘은 제가 요리 도전해봤어요!
D_Ino_L2_002,Dialogue,2,비주얼은 좀... 그래도 맛은 괜찮을 거예요!
D_Ino_L2_002,Dialogue,3,...아마요?
D_Ino_L2_002,Result,1,"호감도 +40, 체력 +5"
D_Ino_L2_002,Result,2,"호감도 +40, 유머 +5"
D_Ino_L2_003,Dialogue,1,"생일 축하해요, 루아씨!"
D_Ino_L2_003,Dialogue,2,"제가 준비한 선물인데... 음, 뭘 좋아할지 몰라서 고민하다가..."
D_Ino_L2_003,Dialogue,3,레몬 스콘 모양 쿠키를 만들어봤어요!
D_Ino_L2_003,Dialogue,4,...먹을 수 있을지는 모르겠지만 마음은 담았어요!
D_Ino_L2_003,Result,1,호감도 +35
D_Ino_L2_003,Result,2,"호감도 +22, 스트레스 -5"
D_Ino_L2_004,Dialogue,1,왕국에서 편지가 왔어요. 루아씨의 근황을 물어보시는 것 같아요.
D_Ino_L2_004,Dialogue,2,여왕이 되는 것에 대한 생각은... 요즘 어떠세요?
D_Ino_L2_004,Dialogue,3,아직은 어려운 질문이려나...
D_Ino_L2_004,Result,1,"호감도 +28, 스트레스 +3"
D_Ino_L2_004,Result,2,호감도 +40
D_Ino_L3_001,Dialogue,1,요즘 학교는 어때요? 재미있어요?
D_Ino_L3_001,Dialogue,2,"...아, 아니면 힘든 일이 있어요?"
D_Ino_L3_001,Dialogue,3,편하게 말해줘요. 전 언제나 루아씨 편이니까요.
D_Ino_L3_001,Result,1,"호감도 +22, 스트레스 -8"
D_Ino_L3_001,Result,2,"호감도 +28, 도덕성 +2"
D_Ino_L3_002,Dialogue,1,"아, 아이린씨가 오늘 놀러 온다고 했죠?"
D_Ino_L3_002,Dialogue,2,둘이서 잘 지내고 있나 해서...
