Dialogue_ID,Event_ID,NPC_Name,Level,Event_Number,Text_Type,Sequence,Text_Content,Choice_ID,Condition,Target_NPC,Stat_Type,Stat_Change,Flag_Set,Next_Event
# 이노 - 레벨 1 이벤트 1: 인사이동 첫날,,,,,,,,,,,,,
D_Ino_L1_001_001,E_Ino_L1_001,이노,1,1,Dialogue,1,"어, 어... 안녕하세요? 저는 이노라고 해요.",,,,,,,
D_Ino_L1_001_002,E_Ino_L1_001,이노,1,1,Dialogue,2,"갑자기 이런 일이 생겨서... 정말 놀라셨죠? 저도 놀랐어요.",,,,,,,
D_Ino_L1_001_003,E_Ino_L1_001,이노,1,1,Dialogue,3,"하지만 걱정 마세요! 열심히 잘 키워드릴 테니까요!",,,,,,,
D_Ino_L1_001_C01,E_Ino_L1_001,이노,1,1,Choice,1,"고마워...",C_Ino_L1_001_01,,,,,,
D_Ino_L1_001_C02,E_Ino_L1_001,이노,1,1,Choice,2,"...정말 괜찮아?",C_Ino_L1_001_02,,,,,,
D_Ino_L1_001_R01,E_Ino_L1_001,이노,1,1,Result,1,,C_Ino_L1_001_01,,이노,Favor,3,,,
D_Ino_L1_001_R02,E_Ino_L1_001,이노,1,1,Result,2,,C_Ino_L1_001_01,,,Stress,-5,,,
D_Ino_L1_001_R03,E_Ino_L1_001,이노,1,1,Result,3,,C_Ino_L1_001_02,,이노,Favor,5,,,
D_Ino_L1_001_R04,E_Ino_L1_001,이노,1,1,Result,4,,C_Ino_L1_001_02,,,Stress,-3,,,
,,,,,,,,,,,,,,
# 이노 - 레벨 1 이벤트 2: 첫 아침 식사,,,,,,,,,,,,,
D_Ino_L1_002_001,E_Ino_L1_002,이노,1,2,Dialogue,1,"자, 아침이에요! 제가 특별히 만든... 어라?",,,,,,,
D_Ino_L1_002_002,E_Ino_L1_002,이노,1,2,Dialogue,2,"...왜 계란이 껍데기째로 있죠?",,,,,,,
D_Ino_L1_002_003,E_Ino_L1_002,이노,1,2,Dialogue,3,"아, 까는 걸 깜빡했네요! 하하...",,,,,,,
D_Ino_L1_002_C01,E_Ino_L1_002,이노,1,2,Choice,1,"괜찮아, 내가 까줄게",C_Ino_L1_002_01,,,,,,
D_Ino_L1_002_C02,E_Ino_L1_002,이노,1,2,Choice,2,"...다음부터는 조심해",C_Ino_L1_002_02,,,,,,
D_Ino_L1_002_R01,E_Ino_L1_002,이노,1,2,Result,1,,C_Ino_L1_002_01,,이노,Favor,5,,,
D_Ino_L1_002_R02,E_Ino_L1_002,이노,1,2,Result,2,,C_Ino_L1_002_01,,,Morality,2,,,
D_Ino_L1_002_R03,E_Ino_L1_002,이노,1,2,Result,3,,C_Ino_L1_002_02,,이노,Favor,3,,,
,,,,,,,,,,,,,,
# 이노 - 레벨 1 이벤트 3: 함께하는 외출,,,,,,,,,,,,,
D_Ino_L1_003_001,E_Ino_L1_003,이노,1,3,Dialogue,1,"오늘 날씨가 좋네요! 공원이라도 다녀올까요?",,,,,,,
D_Ino_L1_003_002,E_Ino_L1_003,이노,1,3,Dialogue,2,"아, 그러다가... 지난번에 거기서 넘어졌는데...",,,,,,,
D_Ino_L1_003_003,E_Ino_L1_003,이노,1,3,Dialogue,3,"아니에요 아니에요! 이번엔 괜찮을 거예요! 아마도...?",,,,,,,
D_Ino_L1_003_C01,E_Ino_L1_003,이노,1,3,Choice,1,"조심해서 가자",C_Ino_L1_003_01,,,,,,
D_Ino_L1_003_C02,E_Ino_L1_003,이노,1,3,Choice,2,"나는 집에 있을래",C_Ino_L1_003_02,,,,,,
D_Ino_L1_003_R01,E_Ino_L1_003,이노,1,3,Result,1,,C_Ino_L1_003_01,,이노,Favor,5,,,
D_Ino_L1_003_R02,E_Ino_L1_003,이노,1,3,Result,2,,C_Ino_L1_003_01,,,Health,3,,,
D_Ino_L1_003_R03,E_Ino_L1_003,이노,1,3,Result,3,,C_Ino_L1_003_02,,,Event_End,,,,
,,,,,,,,,,,,,,
# 이노 - 레벨 1 이벤트 4: 고민 상담,,,,,,,,,,,,,
D_Ino_L1_004_001,E_Ino_L1_004,이노,1,4,Dialogue,1,"요즘 루아씨가 힘들어 보이는데...",,,,,,,
D_Ino_L1_004_002,E_Ino_L1_004,이노,1,4,Dialogue,2,"저도 잘은 모르겠지만, 힘들 땐 쉬어가는 것도 중요하다고 생각해요.",,,,,,,
D_Ino_L1_004_003,E_Ino_L1_004,이노,1,4,Dialogue,3,"무리하지 마세요. 제가 옆에 있을게요.",,,,,,,
D_Ino_L1_004_C01,E_Ino_L1_004,이노,1,4,Choice,1,"고마워, 이노",C_Ino_L1_004_01,,,,,,
D_Ino_L1_004_C02,E_Ino_L1_004,이노,1,4,Choice,2,"괜찮아, 혼자 해결할게",C_Ino_L1_004_02,,,,,,
D_Ino_L1_004_R01,E_Ino_L1_004,이노,1,4,Result,1,,C_Ino_L1_004_01,,이노,Favor,8,,,
D_Ino_L1_004_R02,E_Ino_L1_004,이노,1,4,Result,2,,C_Ino_L1_004_01,,,Stress,-10,,,
D_Ino_L1_004_R03,E_Ino_L1_004,이노,1,4,Result,3,,C_Ino_L1_004_02,,,Stress,-5,,,
,,,,,,,,,,,,,,
# 이노 - 레벨 2 이벤트 1: 조사 일정 고민,,,,,,,,,,,,,
D_Ino_L2_001_001,E_Ino_L2_001,이노,2,1,Dialogue,1,"요즘 조사 일정이 바빠서... 루아씨랑 시간을 많이 못 보내는 것 같아.",,,,,,,
D_Ino_L2_001_002,E_Ino_L2_001,이노,2,1,Dialogue,2,"미안해요. 더 잘 챙겨줘야 하는데.",,,,,,,
D_Ino_L2_001_003,E_Ino_L2_001,이노,2,1,Dialogue,3,"하지만 오늘은 온종일 같이 있을 수 있어요!",,,,,,,
D_Ino_L2_001_C01,E_Ino_L2_001,이노,2,1,Choice,1,"바쁜 와중에도 신경 써줘서 고마워",C_Ino_L2_001_01,,,,,,
D_Ino_L2_001_C02,E_Ino_L2_001,이노,2,1,Choice,2,"나도 이노 일에 방해가 되지 않게 할게",C_Ino_L2_001_02,,,,,,
D_Ino_L2_001_R01,E_Ino_L2_001,이노,2,1,Result,1,,C_Ino_L2_001_01,,이노,Favor,10,,,
D_Ino_L2_001_R02,E_Ino_L2_001,이노,2,1,Result,2,,C_Ino_L2_001_02,,이노,Favor,5,,,
D_Ino_L2_001_R03,E_Ino_L2_001,이노,2,1,Result,3,,C_Ino_L2_001_02,,,Morality,3,,,
,,,,,,,,,,,,,,
# 이노 - 레벨 2 이벤트 2: 함께하는 저녁 식사,,,,,,,,,,,,,
D_Ino_L2_002_001,E_Ino_L2_002,이노,2,2,Dialogue,1,"오늘은 제가 요리 도전해봤어요!",,,,,,,
D_Ino_L2_002_002,E_Ino_L2_002,이노,2,2,Dialogue,2,"비주얼은 좀... 그래도 맛은 괜찮을 거예요!",,,,,,,
D_Ino_L2_002_003,E_Ino_L2_002,이노,2,2,Dialogue,3,"...아마요?",,,,,,,
D_Ino_L2_002_C01,E_Ino_L2_002,이노,2,2,Choice,1,"맛있게 먹을게!",C_Ino_L2_002_01,,,,,,
D_Ino_L2_002_C02,E_Ino_L2_002,이노,2,2,Choice,2,"배달 음식 시킬까?",C_Ino_L2_002_02,,,,,,
D_Ino_L2_002_R01,E_Ino_L2_002,이노,2,2,Result,1,,C_Ino_L2_002_01,,이노,Favor,8,,,
D_Ino_L2_002_R02,E_Ino_L2_002,이노,2,2,Result,2,,C_Ino_L2_002_01,,,Health,5,,,
D_Ino_L2_002_R03,E_Ino_L2_002,이노,2,2,Result,3,,C_Ino_L2_002_02,,이노,Favor,3,,,
D_Ino_L2_002_R04,E_Ino_L2_002,이노,2,2,Result,4,,C_Ino_L2_002_02,,,Humor,5,,,
,,,,,,,,,,,,,,
# 이노 - 레벨 2 이벤트 3: 루아의 생일,,,,,,,,,,,,,
D_Ino_L2_003_001,E_Ino_L2_003,이노,2,3,Dialogue,1,"생일 축하해요, 루아씨!",,,,,,,
D_Ino_L2_003_002,E_Ino_L2_003,이노,2,3,Dialogue,2,"제가 준비한 선물인데... 음, 뭘 좋아할지 몰라서 고민하다가...",,,,,,,
D_Ino_L2_003_003,E_Ino_L2_003,이노,2,3,Dialogue,3,"레몬 스콘 모양 쿠키를 만들어봤어요!",,,,,,,
D_Ino_L2_003_004,E_Ino_L2_003,이노,2,3,Dialogue,4,"...먹을 수 있을지는 모르겠지만 마음은 담았어요!",,,,,,,
D_Ino_L2_003_C01,E_Ino_L2_003,이노,2,3,Choice,1,"정말 고마워! 소중히 간직할게",C_Ino_L2_003_01,,,,,,
D_Ino_L2_003_C02,E_Ino_L2_003,이노,2,3,Choice,2,"함께 먹자.",C_Ino_L2_003_02,,,,,,
D_Ino_L2_003_R01,E_Ino_L2_003,이노,2,3,Result,1,,C_Ino_L2_003_01,,이노,Favor,15,,,
D_Ino_L2_003_R02,E_Ino_L2_003,이노,2,3,Result,2,,C_Ino_L2_003_02,,이노,Favor,10,,,
D_Ino_L2_003_R03,E_Ino_L2_003,이노,2,3,Result,3,,C_Ino_L2_003_02,,,Stress,-5,,,
,,,,,,,,,,,,,,
# 이노 - 레벨 2 이벤트 4: 왕국 통신,,,,,,,,,,,,,
