NPC_ID,NPC_Name,Favor_Level,Min_Favor,Max_Favor,Event_ID,Dialogue_Path,CG_Variation,Unlock_Content,Special_Reward
# 이노 (Ino) - 토피넛 라떼, 21세, 주인공
# 밸런스 조정: 레벨업 필요 호감도 증가, 최대 200
NPC_Ino,이노,1,0,30,EVT_Ino_L1,Dialogues/Ino_L1.json,Normal,,ITEM_101
NPC_Ino,이노,2,31,65,EVT_Ino_L2,Dialogues/Ino_L2.json,Happy,Shop_Item_101,
NPC_Ino,이노,3,66,105,EVT_Ino_L3,Dialogues/Ino_L3.json,Happy,Event_EVT_Ino_L3,
NPC_Ino,이노,4,106,150,EVT_Ino_L4,Dialogues/Ino_L4.json,Blush,CG_Ino_Blush,
NPC_Ino,이노,5,151,200,EVT_Ino_L5,Dialogues/Ino_L5.json,Blush,Ending_Lover_Route,ITEM_Special_Ring

# 아이린 (Aileen) - 마카롱, 21세, 소꿉친구
# 밸런스 조정: 레벨업 필요 호감도 증가, 최대 200
NPC_Aileen,아이린,1,0,30,EVT_Aileen_L1,Dialogues/Aileen_L1.json,Normal,,ITEM_111
NPC_Aileen,아이린,2,31,65,EVT_Aileen_L2,Dialogues/Aileen_L2.json,Happy,Shop_Item_111,
NPC_Aileen,아이린,3,66,105,EVT_Aileen_L3,Dialogues/Aileen_L3.json,Happy,Event_EVT_Aileen_L3,
NPC_Aileen,아이린,4,106,150,EVT_Aileen_L4,Dialogues/Aileen_L4.json,Blush,CG_Aileen_Blush,
NPC_Aileen,아이린,5,151,200,EVT_Aileen_L5,Dialogues/Aileen_L5.json,Happy,Event_EVT_Aileen_Confession,

# 카일 (Kyle) - 블랙 티, 25세, 호위 기사
# 밸런스 조정: 레벨업 필요 호감도 증가, 최대 200
NPC_Kyle,카일,1,0,30,EVT_Kyle_L1,Dialogues/Kyle_L1.json,Normal,,ITEM_121
NPC_Kyle,카일,2,31,65,EVT_Kyle_L2,Dialogues/Kyle_L2.json,Normal,Shop_Item_121,
NPC_Kyle,카일,3,66,105,EVT_Kyle_L3,Dialogues/Kyle_L3.json,Happy,Event_EVT_Kyle_L3,
NPC_Kyle,카일,4,106,150,EVT_Kyle_L4,Dialogues/Kyle_L4.json,Happy,CG_Kyle_Smile,
NPC_Kyle,카일,5,151,200,EVT_Kyle_L5,Dialogues/Kyle_L5.json,Happy,Event_EVT_Kyle_Growth,

# 리안 (Lian) - 인간, 19세, 특별한 능력 보유
# 특별 조건: 13세에 첫 등장, 시작 호감도 50 (레벨 3부터 시작)
# 밸런스 조정: 레벨업 필요 호감도 증가, 최대 180
NPC_Lian,리안,3,50,75,EVT_Lian_L3,Dialogues/Lian_L3.json,Normal,Event_First_Meet_Lian,
NPC_Lian,리안,4,76,120,EVT_Lian_L4,Dialogues/Lian_L4.json,Happy,Event_EVT_Lian_Secret,
NPC_Lian,리안,5,121,180,EVT_Lian_L5,Dialogues/Lian_L5.json,Blush,Ending_Hidden_Connector,ITEM_Special_Dimension_Key
