Action_ID,NPC_Ino,NPC_Aileen,NPC_Kyle,NPC_Lian,Notes
ACT_Lesson_HP_1,0,0,0,0,
ACT_Lesson_HP_2,0,0,0,0,
ACT_Lesson_Charm_1,0,0,0,0,
ACT_Lesson_Charm_2,0,0,0,0,
ACT_Lesson_Int_1,0,0,0,0,
ACT_Lesson_Int_2,0,0,0,0,
ACT_Lesson_Art_1,0,0,0,0,
ACT_Lesson_Art_2,0,0,0,0,
ACT_Lesson_Moral_1,0,0,0,0,
ACT_Lesson_Moral_2,0,0,0,0,
ACT_Lesson_All,0,0,0,0,
ACT_Job_1,0,0,0,0,
ACT_Job_2,0,0,0,0,
ACT_Job_4,0,0,0,0,
ACT_Job_5,0,0,0,0,
ACT_Job_6,0,0,0,0,
ACT_Job_7,0,0,0,0,
ACT_Job_8,0,0,0,0,
ACT_Rest_1,0,0,0,0,
ACT_Rest_2,0,0,0,0,
ACT_Rest_4,0,0,0,0,
ACT_Out_Ino,5,0,0,0,이노와 외출
ACT_Out_Aileen,0,5,0,0,아이린과 외출
ACT_Out_Kyle,0,0,3,0,카일과 외출
ACT_Out_Lian,0,0,0,5,리안과 외출
ACT_Special_1,3,3,3,3,파티 개최
ACT_Special_2,0,0,0,0,
ACT_Special_3,0,0,0,0,
ACT_Special_4,5,5,5,5,왕국 축제
ACT_Special_5,0,0,0,0,
