Event_ID,Effect_HP,Effect_Charm,Effect_Int,Effect_Art,Effect_Morality,Effect_Stress,Effect_Sweets,NPC_Ino,NPC_Aileen,NPC_Kyle,NPC_Lian,Flags_Added,Notes
EVT_BIRTHDAY_006,0,0,0,0,0,0,100,5,0,0,0,,6세 생일
EVT_BIRTHDAY_007,0,0,0,0,0,0,100,0,0,0,0,,7세 생일
EVT_BIRTHDAY_010,0,0,0,20,0,0,200,0,0,0,0,,10세 생일
EVT_BIRTHDAY_013,0,0,0,0,0,0,200,0,0,0,50,,13세 생일
EVT_BIRTHDAY_015,0,0,0,0,0,0,200,0,0,0,0,,15세 생일
EVT_BIRTHDAY_016,0,0,0,0,0,0,300,0,0,0,0,Flag_Lover_Route,16세 생일
EVT_BIRTHDAY_018,0,0,0,0,0,0,0,0,0,0,0,Adult_Ceremony,18세 생일
EVT_AGE_006_SCHOOL,0,0,0,0,0,0,0,0,0,0,0,,6세 입학식
EVT_AGE_010_MIDDLE,0,0,0,0,0,0,0,0,0,0,0,,10세 중학교 입학
EVT_AGE_012_PUBERTY,0,0,0,0,0,10,0,0,0,0,0,,12세 사춘기
EVT_AGE_015_GRADUATION,0,0,0,0,0,0,0,0,0,0,0,,15세 졸업
EVT_AGE_016_HIGH,0,0,0,0,0,0,0,0,0,0,0,,16세 고등학교 입학
EVT_AGE_018_ADULT,0,0,0,0,0,0,0,0,0,0,0,,18세 성인식
EVT_NEWYEAR,0,0,0,0,0,0,50,0,0,0,0,,새해
EVT_VALENTINE,0,0,0,0,0,0,0,3,3,3,0,,발렌타인
EVT_CHERRYBLOSSOM,0,0,0,0,0,-10,0,0,0,0,0,,벚꽃놀이
EVT_CHILDRENDAY,0,0,0,0,0,0,0,0,0,0,0,,어린이날
EVT_SUMMER_VACATION,0,0,0,0,0,-15,0,0,0,0,0,,여름방학
EVT_SPORTS_DAY,0,0,0,0,0,0,0,0,0,0,0,,운동회
EVT_AUTUMN,0,0,0,0,0,0,0,0,0,0,0,,단풍놀이
EVT_CHRISTMAS,0,0,0,0,0,0,100,5,5,5,5,,크리스마스
EVT_AILEEN_CONFESSION,0,0,0,0,0,0,0,0,10,0,0,,아이린 고백
EVT_KYLE_GROWTH,0,0,0,0,0,0,0,0,0,10,0,,카일 성장
EVT_LIAN_SECRET,0,0,0,0,0,0,0,0,0,0,10,Flag_Lian_Secret,리안 비밀
