Ending_ID,Name_KO,Name_EN,Type,Priority,Req_HP,Req_Charm,Req_Int,Req_Art,Req_Morality,Req_Stress,Req_Favor_Ino,Req_Favor_Aileen,Req_Favor_Kyle,Req_Favor_Lian,Req_Events,Req_Choices,Req_Flags,Script_Path,CG_Path,BGM_Path,Description,Unlock_Next_Run
# 기본 엔딩 (13개)
# 밸런스 조정: 스탯 요구치 하향 (900+→750+, 800+→700+, 550+→500+, 700+→600+)
END_001,여왕의 길,Path of Queen,Basic,5,600+,800+,800+,,600+,,>=80,,,,,,,,Endings/Queen.json,CG/Ending_Queen.png,BGM/Ending_Queen.mp3,왕국의 여왕이 되어 왕국을 이끄는 엔딩
END_002,현명한 학자,Wise Scholar,Basic,6,,,700+,400+,,,>=60,,,,,,,,Endings/Scholar.json,CG/Ending_Scholar.png,BGM/Ending_Scholar.mp3,왕국 최고의 학자가 되는 엔딩
END_003,반짝이는 아이돌,Shining Idol,Basic,7,,700+,,,500+,,>=60,,,,,,,,Endings/Idol.json,CG/Ending_Idol.png,BGM/Ending_Idol.mp3,왕국 최고의 아이돌 스타가 되는 엔딩
END_004,예술가의 길,Path of Artist,Basic,6,,,400+,650+,,,>=60,,,,,,,,Endings/Artist.json,CG/Ending_Artist.png,BGM/Ending_Artist.mp3,왕국을 대표하는 예술가가 되는 엔딩
END_005,강인한 운동선수,Athlete,Basic,7,700+,,,400+,,,>=60,,,,,,,,Endings/Athlete.json,CG/Ending_Athlete.png,BGM/Ending_Athlete.mp3,왕국 최고의 운동선수가 되는 엔딩
END_006,성스러운 성녀,Holy Saint,Basic,8,,,,400+,750+,,>=70,,,,,,,,Endings/Saint.json,CG/Ending_Saint.png,BGM/Ending_Saint.mp3,왕국의 정신적 지주가 되는 성녀 엔딩
END_007,인간 세계 탐구자,Human World Explorer,Basic,9,,500+,,,,,>=70,,,,,,,,Endings/Explorer.json,CG/Ending_Explorer.png,BGM/Ending_Explorer.mp3,인간 세계에 남아 조사원이 되는 엔딩
END_008,따뜻한 교사,Kind Teacher,Basic,8,,,600+,500+,,,>=60,,,,,,,,Endings/Teacher.json,CG/Ending_Teacher.png,BGM/Ending_Teacher.mp3,왕국의 교육자가 되는 엔딩
END_009,요리 연구가,Cooking Researcher,Basic,7,,,500+,600+,,,>=60,,,,,,,,Endings/Cook.json,CG/Ending_Cook.png,BGM/Ending_Cook.mp3,디저트 요리 연구가가 되는 엔딩
END_010,사교적 리더,Social Leader,Basic,6,500+,700+,,,,,>=50,>=50,>=50,>=50,,,,,Endings/Leader.json,CG/Ending_Leader.png,BGM/Ending_Leader.mp3,왕국 사교계의 중심이 되는 엔딩
# 밸런스 조정: 모든 스탯 500+, 호감도는 그대로 유지
END_011,균형잡힌 인재,Well-Rounded Talent,Basic,16,450+,450+,450+,450+,450+,,>=40,>=40,>=40,>=40,,,,,Endings/Balanced.json,CG/Ending_Balanced.png,BGM/Ending_Balanced.mp3,모든 면에서 균형 잡힌 인재가 되는 엔딩
END_012,평범한 행복,Ordinary Happiness,Basic,17,300+,,,,,,,,,,,,,,Endings/Normal.json,CG/Ending_Normal.png,BGM/Ending_Normal.mp3,특별하지 않은 평범한 행복을 찾는 엔딩
# 밸런스 조정: MORALITY 상한 완화 (≤30,≤40 → ≤400)
END_013,자유로운 영혼,Free Spirit,Basic,18,,,,,,<=400,,,,,,,,,Endings/Free.json,CG/Ending_Free.png,BGM/Ending_Free.mp3,어떤 틀에도 얽매이지 않는 자유로운 삶의 엔딩

# 히든 엔딩 (2개)
END_HIDDEN_001,차원의 연결자,Dimensional Connector,Hidden,1,,500+,,,,<=400,,,,,80-100,EVT_Lian_Secret,,Flag_Lian_Secret=TRUE,Endings/Hidden_Connector.json,CG/Hidden_Connector.png,BGM/Hidden_Connector.mp3,인간 세계와 디저트 왕국의 다리가 되는 히든 엔딩
# 밸런스 조정: 스탯 하향 (700+→600+, 600+→500+), MORALITY 상한 완화 (≤40 → ≤400), NPC 호감도 범위로 변경 (=100 → 80-100)
END_HIDDEN_002,새로운 여왕,New Queen,Hidden,2,500+,600+,600+,400+,500+,<=400,80-100,,,,,,,Flag_Lover_Route=TRUE,Endings/Hidden_Queen.json,CG/Hidden_Queen.png,BGM/Hidden_Queen.mp3,이노와 함께 새로운 왕국을 건설하는 히든 엔딩
