Simulation,Batch,Ending,TotalStats,Stress,Money,Age,Turns,HP,CHARM,INT,ART,MORALITY,Ino_Favor,Aileen_Favor,Kyle_Favor,Lian_Favor,Events_Count,Success
1,1,자유로운 영혼,2793,0,240,18,141,620,597,674,426,476,80,25,46,51,9,Yes
2,1,자유로운 영혼,2766,2,220,18,141,666,595,558,465,482,75,1,62,91,9,Yes
3,1,자유로운 영혼,2766,0,100,18,141,552,630,546,474,564,78,27,69,72,9,Yes
4,1,자유로운 영혼,2588,13,200,18,141,570,603,466,420,529,78,11,73,67,9,Yes
5,1,자유로운 영혼,2657,44,90,18,141,582,593,542,497,443,66,20,16,58,9,Yes
6,1,자유로운 영혼,2841,2,170,18,141,692,622,694,432,401,76,28,68,62,9,Yes
7,1,자유로운 영혼,2802,2,170,18,141,616,609,678,447,452,57,26,54,63,9,Yes
8,1,자유로운 영혼,2823,4,170,18,141,588,598,660,492,485,80,25,46,55,9,Yes
9,1,자유로운 영혼,2712,8,130,18,141,474,580,644,588,426,57,1,53,87,9,Yes
10,1,자유로운 영혼,2762,5,180,18,141,598,622,584,442,516,34,44,30,66,9,Yes
11,2,자유로운 영혼,2819,0,170,18,141,656,649,622,414,478,73,47,35,65,9,Yes
12,2,자유로운 영혼,2862,7,100,18,141,638,611,576,493,544,67,12,34,58,9,Yes
13,2,자유로운 영혼,2802,2,120,18,141,612,608,594,562,426,72,19,73,67,9,Yes
14,2,자유로운 영혼,2684,0,150,18,141,610,633,578,406,457,58,46,41,77,9,Yes
15,2,자유로운 영혼,2879,9,310,18,141,676,589,718,429,467,59,9,65,61,9,Yes
16,2,자유로운 영혼,2733,17,310,18,141,562,604,672,452,443,62,2,52,53,9,Yes
17,2,자유로운 영혼,2795,11,100,18,141,528,622,652,500,493,77,30,47,72,9,Yes
18,2,자유로운 영혼,2784,24,190,18,141,632,582,606,505,459,82,12,37,61,9,Yes
19,2,자유로운 영혼,2750,5,250,18,141,542,609,762,429,408,75,23,50,70,9,Yes
20,2,자유로운 영혼,2800,5,190,18,141,710,591,590,404,505,63,0,50,78,9,Yes
21,3,자유로운 영혼,2772,0,70,18,141,558,609,602,485,518,94,20,56,51,9,Yes
22,3,자유로운 영혼,2781,0,60,18,141,700,590,596,466,429,55,11,25,100,9,Yes
23,3,자유로운 영혼,2668,0,140,18,141,652,631,526,420,439,72,11,55,62,9,Yes
24,3,자유로운 영혼,2722,0,170,18,141,522,627,622,448,503,57,14,61,64,9,Yes
25,3,자유로운 영혼,2674,0,240,18,141,586,592,536,481,479,66,4,59,84,9,Yes
26,3,자유로운 영혼,2856,15,230,18,141,684,569,636,503,464,80,25,31,91,9,Yes
27,3,자유로운 영혼,2827,5,190,18,141,726,596,650,410,445,83,29,43,67,9,Yes
28,3,자유로운 영혼,2789,16,220,18,141,684,630,578,440,457,51,29,29,66,9,Yes
29,3,자유로운 영혼,2783,0,130,18,141,608,603,660,452,460,65,25,54,50,9,Yes
30,3,자유로운 영혼,2827,8,120,18,141,608,612,710,462,435,38,11,35,58,9,Yes
31,4,자유로운 영혼,2739,20,250,18,141,598,584,694,432,431,97,25,54,71,9,Yes
32,4,자유로운 영혼,2829,0,130,18,141,614,615,642,435,523,61,15,59,72,9,Yes
33,4,자유로운 영혼,2726,2,90,18,141,590,602,588,484,462,76,3,46,73,9,Yes
34,4,자유로운 영혼,2749,0,210,18,141,600,598,654,456,441,59,8,47,53,9,Yes
35,4,자유로운 영혼,2799,0,140,18,141,704,593,636,502,364,56,9,56,61,9,Yes
36,4,자유로운 영혼,2890,0,110,18,141,626,609,672,475,508,74,41,40,70,9,Yes
37,4,자유로운 영혼,2770,2,90,18,141,562,594,672,529,413,85,30,50,87,9,Yes
38,4,자유로운 영혼,2796,0,60,18,141,586,616,560,544,490,62,21,46,58,9,Yes
39,4,자유로운 영혼,2822,10,80,18,141,608,618,682,491,423,46,20,66,58,9,Yes
40,4,자유로운 영혼,2764,0,220,18,141,566,608,566,470,554,75,9,47,80,9,Yes
41,5,자유로운 영혼,2817,0,150,18,141,658,581,722,483,373,91,50,46,82,9,Yes
42,5,자유로운 영혼,2717,11,160,18,141,552,599,652,491,423,78,26,59,59,9,Yes
43,5,자유로운 영혼,2768,0,120,18,141,680,624,670,389,405,51,21,51,76,9,Yes
44,5,자유로운 영혼,2837,1,100,18,141,806,634,592,422,383,59,51,41,65,9,Yes
45,5,자유로운 영혼,2699,0,160,18,141,574,587,670,458,410,58,4,41,71,9,Yes
46,5,자유로운 영혼,2664,2,100,18,141,572,582,570,445,495,67,20,38,75,9,Yes
47,5,자유로운 영혼,2788,8,250,18,141,578,634,600,441,535,67,19,70,69,9,Yes
48,5,자유로운 영혼,2747,0,60,18,141,638,607,584,482,436,69,18,49,57,9,Yes
49,5,자유로운 영혼,2701,0,200,18,141,552,610,628,434,477,100,30,44,73,9,Yes
50,5,자유로운 영혼,2787,0,110,18,141,518,597,720,522,430,74,2,45,62,9,Yes
51,6,자유로운 영혼,2767,0,230,18,141,608,619,542,465,533,59,20,54,64,9,Yes
52,6,자유로운 영혼,2779,0,70,18,141,588,618,650,468,455,61,7,48,81,9,Yes
53,6,자유로운 영혼,2865,42,80,18,141,722,635,666,488,354,77,53,83,62,9,Yes
54,6,자유로운 영혼,2807,0,110,18,141,632,630,662,445,438,99,21,65,71,9,Yes
55,6,자유로운 영혼,2734,0,100,18,141,662,593,528,469,482,79,21,54,70,9,Yes
56,6,자유로운 영혼,2708,5,210,18,141,636,592,592,430,458,57,19,46,95,9,Yes
57,6,자유로운 영혼,2747,0,110,18,141,622,616,558,439,512,66,13,52,79,9,Yes
58,6,자유로운 영혼,2678,22,220,18,141,688,582,614,418,376,60,30,59,64,9,Yes
59,6,자유로운 영혼,2851,0,50,18,141,668,606,690,492,395,66,34,40,59,9,Yes
60,6,자유로운 영혼,2801,20,160,18,141,598,599,676,549,379,68,22,40,57,9,Yes
61,7,자유로운 영혼,2789,0,290,18,141,648,599,766,397,379,45,23,38,61,9,Yes
62,7,자유로운 영혼,2726,16,130,18,141,780,629,578,417,322,69,24,37,71,9,Yes
63,7,자유로운 영혼,2862,2,120,18,141,594,632,662,491,483,71,13,26,58,9,Yes
64,7,자유로운 영혼,2851,11,250,18,141,746,612,660,398,435,73,17,48,79,9,Yes
65,7,자유로운 영혼,2720,8,120,18,141,680,637,486,488,429,57,58,58,54,9,Yes
66,7,자유로운 영혼,2724,0,190,18,141,504,588,598,457,577,58,21,44,62,9,Yes
67,7,자유로운 영혼,2716,2,100,18,141,554,606,638,471,447,69,13,40,50,9,Yes
68,7,자유로운 영혼,2687,8,130,18,141,554,604,580,439,510,53,35,31,86,9,Yes
69,7,자유로운 영혼,2871,16,150,18,141,676,585,774,440,396,71,27,39,87,9,Yes
70,7,자유로운 영혼,2673,3,230,18,141,650,606,564,377,476,61,38,50,71,9,Yes
71,8,자유로운 영혼,2734,13,340,18,141,526,622,602,451,533,75,22,52,70,9,Yes
72,8,자유로운 영혼,2730,5,140,18,141,624,655,576,431,444,58,31,60,60,9,Yes
73,8,자유로운 영혼,2848,0,90,18,141,630,620,772,448,378,56,47,32,94,9,Yes
74,8,자유로운 영혼,2852,6,280,18,141,556,586,754,495,461,76,13,50,77,9,Yes
75,8,자유로운 영혼,2689,2,170,18,141,516,605,624,478,466,42,11,54,69,9,Yes
76,8,자유로운 영혼,2809,0,100,18,141,714,594,632,446,423,67,35,26,60,9,Yes
77,8,자유로운 영혼,2809,2,100,18,141,666,628,618,435,462,71,12,43,60,9,Yes
78,8,자유로운 영혼,2780,0,70,18,141,790,611,560,414,405,61,22,74,61,9,Yes
79,8,자유로운 영혼,2799,12,160,18,141,584,628,716,462,409,68,40,46,62,9,Yes
80,8,자유로운 영혼,2784,17,170,18,141,642,606,656,521,359,67,13,39,66,9,Yes
81,9,자유로운 영혼,2758,11,130,18,141,548,633,644,437,496,61,28,62,93,9,Yes
82,9,자유로운 영혼,2876,0,80,18,141,636,607,692,473,468,86,9,82,59,9,Yes
83,9,자유로운 영혼,2760,0,50,18,141,758,584,572,468,378,56,26,64,64,9,Yes
84,9,자유로운 영혼,2707,38,210,18,141,552,623,652,447,433,46,3,38,53,9,Yes
85,9,자유로운 영혼,2669,4,210,18,141,604,611,590,414,450,88,3,48,75,9,Yes
86,9,자유로운 영혼,2777,0,210,18,141,676,561,652,485,403,88,16,64,57,9,Yes
87,9,자유로운 영혼,2724,23,180,18,141,494,591,652,464,523,76,18,36,61,9,Yes
88,9,자유로운 영혼,2788,0,320,18,141,606,603,618,514,447,54,2,50,54,9,Yes
89,9,자유로운 영혼,2793,0,120,18,141,674,634,628,435,422,54,17,34,74,9,Yes
90,9,자유로운 영혼,2813,7,180,18,141,538,581,668,499,527,83,16,57,61,9,Yes
91,10,자유로운 영혼,2799,13,160,18,141,584,582,708,433,492,75,15,41,71,9,Yes
92,10,자유로운 영혼,2923,0,210,18,141,698,571,692,449,513,50,22,26,60,9,Yes
93,10,자유로운 영혼,2753,8,190,18,141,612,583,600,508,450,58,9,45,55,9,Yes
94,10,자유로운 영혼,2760,8,150,18,141,696,567,538,502,457,71,4,43,51,9,Yes
95,10,자유로운 영혼,2814,0,190,18,141,632,586,632,531,433,60,32,71,67,9,Yes
96,10,자유로운 영혼,2919,0,200,18,141,668,623,552,493,583,55,10,35,60,9,Yes
97,10,자유로운 영혼,2736,9,180,18,141,530,615,746,446,399,79,19,39,50,9,Yes
98,10,자유로운 영혼,2785,2,130,18,141,608,580,518,542,537,83,27,52,54,9,Yes
99,10,자유로운 영혼,2807,8,100,18,141,654,602,652,471,428,45,20,31,78,9,Yes
100,10,자유로운 영혼,2836,0,70,18,141,718,615,662,403,438,100,32,75,61,9,Yes
